ID	MoveOutPos	MoveOutTime	MoveBackPos	MoveBackTime	Effect_SpeedFoot
上点击	0|1|0	0.15	0|0|0	0.1	0|0|0|1
下点击	0|0|0	0.15	0|0|0	0.2	
左点击	-0.6|0|0	0.15	0|0|0	0.1	
右点击	0.6|0|0	0.15	0|0|0	0.1	
上长按开始	0|0.5|0	0.15	0|0.5|0	0.2	0|0|0|1
上长按结束	0|0|0	0.15	0|0|0	0.2	0|0|0|1
下长按开始	0|0|0	0.15	0|0|0	0.2	0|0|0|1
下长按结束	0|0|0	0.15	0|0|0	0.2	0|0|0|1
左长按开始	-0.5|0.5|0	0.15	-0.5|0.5|0	0.2	0|0|0|1
左长按结束	0|0|0	0.15	0|0|0	0.2	0|0|0|1
右长按开始	0.5|0.5|0	0.15	0.5|0.5|0	0.2	0|0|0|1
右长按结束	0|0|0	0.15	0|0|0	0.2	0|0|0|1
左踏板	-0.5|0.3|0	0.15	0|0|0	0.2	
右踏板	0.5|0.3|0	0.15	0|0|0	0.2	
右上	0.5|0.8|0	0.15	0|0|0	0.18	
上上	0|1.5|0	0.15	0|0|0	0.1	
左上	-0.5|0.8|0	0.15	0|0|0	0.18	
反向右	0.65|0|0	0.15	0|0|0	0.1	
反向左	-0.65|0|0	0.15	0|0|0	0.1	
右上长按开始	0.17|1|0	0.15	0.17|1|0	0.15	
右上长按结束	0|0|0	0.15	0|0|0	0.15	
左上长按开始	-0.17|1|0	0.15	-0.17|1|0	0.15	
左上长按结束	0|0|0	0.15	0|0|0	0.15	
