资源名	CN	EN	JP
Ability	Ability	Ability	Ability
AI	AI_cn	AI	AI
Audio	Audio_cn	Audio	Audio
Char	Char_cn	Char	Char
Fight_Buff	Fight_Buff_cn	Fight_Buff	Fight_Buff
Fight_Bullet	Fight_Bullet_cn	Fight_Bullet	Fight_Bullet
Fight_Effect	Fight_Effect_cn	Fight_Effect	Fight_Effect
Fight_Launcher	Fight_Launcher_cn	Fight_Launcher	Fight_Launcher
localization	localization_cn	localization_en	localization_jp
Localization	Localization_cn	Localization	Localization
Skill	Skill_cn	Skill	Skill
SkillDesc	SkillDesc	SkillDesc	SkillDesc
Unit	Unit_cn	Unit	Unit
