sn	actionType	buffType	valueList	turn	dispelType	fxSn_act	fxSn_con	fxSn_des	sort	viewType	icon	desc
1000130	3	0	32|-20	2	1	1002	0	0	2|2	0	Buff_11	Fight_Buff_1000321
1000111	3	0	91|-40	3	0	1002	0	0	7|2	0	Buff_9	Fight_Buff_1000321
1000140	3	0	201|25	0	0	1001	0	0	3|1	0	Buff_5	Fight_Buff_1000321
1000210	3	0	81|30	2	1	1001	0	0	4|1	0	Buff_7	Fight_Buff_1000321
1000211	3	0	91|30	2	1	1001	0	0	4|2	0	Buff_7	Fight_Buff_1000321
1000230	4	0	0|30000001	2	2	0	11001	0	0	0		Fight_Buff_1000321
1000240	2	0	15|0|0	3	2	1001	0	0	5|1	0	Buff_3	Fight_Buff_1000321
1000320	1	0	-15|0|0	3	2	1002	0	0	5|2	0	Buff_8	Fight_Buff_1000321
1000330	1	0	-25|0|0	3	2	1002	0	0	5|2	0	Buff_8	Fight_Buff_1000321
1000340	3	0	51|15	0	0	1001	0	0	1|3	0	Buff_12	Fight_Buff_1000321
1000410	3	0	32|-20	3	2	1002	0	0	2|2	0	Buff_11	Fight_Buff_1000321
1000440	3	0	22|10	0	0	1001	0	0	1|1	0	Buff_12	Fight_Buff_1000321
1000510	4	0	0|0	2	2	0	11001	0	0	0		Fight_Buff_1000321
1000511	1	0	-15|0|0	2	2	1002	0	0	5|2	0	Buff_8	Fight_Buff_1000321
1000520	3	0	32|-20	2	1	1002	0	0	2|2	0	Buff_11	Fight_Buff_1000321
1000530	4	0	0|30000001	2	2	0	11001	0	0	0		Fight_Buff_1000321
1000720	3	0	22|25	2	0	0	0	0	1|1	0	Buff_12	Fight_Buff_1000321
1000721	10	0		1	1	0	0	0	9|1	0	Buff_12	Fight_Buff_1000321
1000810	4	0	0|0	2	2	0	11001	0	0	0		Fight_Buff_1000321
1000811	3	0	32|-20	2	1	1002	0	0	2|2	0	Buff_11	Fight_Buff_1000321
1000911	1	0	-25|0|0	3	2	1002	0	0	5|2	0	Buff_8	Fight_Buff_1000321
1000912	3	0	30	3	2	1002	0	0	5|2	0	Buff_8	Fight_Buff_1000321
1000921	1	0	-25|0|0	3	2	1002	0	0	5|2	0	Buff_8	Fight_Buff_1000321
1000931	3	0	32|-20	2	2	1002	0	0	2|2	0	Buff_11	Fight_Buff_1000321
1000940	3	0	22|25	2	1	1002	0	0	1|1	0	Buff_12	Fight_Buff_1000321
1001120	1	0	-25|0|0	3	2	1002	0	0	5|2	0	Buff_8	Fight_Buff_1000321
1001121	10	0		1	1	1002	0	0	9|1	0	Buff_12	Fight_Buff_1000321
1001130	4	0	0|0	2	2	0	11001	0	0	0		Fight_Buff_1000321
2000120	11	0	-200|100|100|100|100	0	0	0	20065	0	0	0		
2000130	4	0	0|0	2	2	0	11001	0	0	0		
2000410	4	0	0|0	1	2	0	11001	0	0	0		
2000510	1	0	-15|0|0	2	2	1002	0	0	5|2	0	Buff_8	Fight_Buff_1000321
2000920	4	0	0|0	1	2	0	11001	0	0	0		Fight_Buff_1000321
3000320	3	0	121|150	2	1	1001	0	0	1|1	0	Buff_12	Fight_Buff_1000321
3000510	3	0	22|-10	2	0	1002	0	0	1|2	0	Buff_4	Fight_Buff_1000321
3000511	3	0	32|-25	2	0	1002	0	0	2|2	0	Buff_11	Fight_Buff_1000321
3000610	3	0	22|25	2	0	1002	0	0	1|1	0	Buff_12	Fight_Buff_1000321
3000611	3	0	32|10	2	0	1002	0	0	2|1	0	Buff_7	Fight_Buff_1000321
3000620	3	0	32|25	2	0	1002	0	0	2|1	0	Buff_7	Fight_Buff_1000321
4000110	7	0	400|500	2	1	0	104	0	0	0		
4000120	3	0	32|10	1	0	1001	0	0	2|1	0	Buff_7	Fight_Buff_1000321
4000132	4	0	0|0	1	2	0	11001	0	0	0		Fight_Buff_1000321
4000190	5	1	50	2	1	0	0	0	8|1	0	Buff_7	Fight_Buff_1000321
40000001	3	0	22|5	0	0	1001	0	0	1|1	1	Buff_12	Fight_Buff_1000321
10000001	3	0	22|25	0	0	1001	0	0	1|1	2	Buff_12	Fight_Buff_1000321
10000002	3	0	32|25	0	0	1001	0	0	2|1	2	Buff_7	Fight_Buff_1000321
20000001	3	0	22|-25	0	0	1002	0	0	1|2	2	Buff_4	Fight_Buff_1000321
20000002	3	0	32|-25	0	0	1002	0	0	2|2	2	Buff_11	Fight_Buff_1000321
30000001	3	0	81|30	3	0	1001	0	0	4|1	0	Buff_7	Fight_Buff_1000321
30000002	3	0	41|1000	1	0	0	0	0	0	0		
20100010	8	0	20100010|50	0	0	0	0	0	6|1	2	Buff_1	
20100020	3	0	91|20	0	0	1001	0	0	4|1	2	Buff_7	
20100021	3	0	81|20	0	0	1001	0	0	4|2	2	Buff_7	
20100022	3	0	101|20	0	0	1001	0	0	4|3	2	Buff_7	
20100030	3	0	22|10	0	0	1001	0	0	1|1	2	Buff_12	
20200010	8	0	20200010|50	0	0	0	0	0	6|2	2	Buff_2	
20200020	3	0	91|-20	0	0	1002	0	0	7|2	2	Buff_9	
20200021	3	0	81|-20	0	0	1002	0	0	7|1	2	Buff_9	
20200022	3	0	101|-20	0	0	1002	0	0	7|3	2	Buff_9	
20200030	8	0	20200030|30	0	0	0	0	0	6|2	2	Buff_2	
20101010	9	0	20101010	0	0	0	0	0	6|1	2	Buff_1	
20101011	7	0	20|100	2	0	0	104	0	3|3	2	Buff_3	
20101020	9	0	20101020	0	0	0	0	0	6|1	2	Buff_1	
20101021	3	0	22|30	1	0	1001	0	0	1|1	2	Buff_12	
20101030	3	0	41|20	0	0	1001	0	0	1|5	2	Buff_12	
20101031	3	0	22|15	0	0	1001	0	0	1|1	2	Buff_12	
20101040	9	0	20101040	0	0	0	0	0	6|1	2	Buff_1	
20101050	3	0	32|20	0	0	1001	0	0	2|1	2	Buff_7	
20101060	9	0	20101060	0	0	0	0	0	6|1	2	Buff_1	
20101061	3	0	22|10	2	0	1001	0	0	1|1	2	Buff_12	
20201010	8	0	20201010|50	0	0	0	0	0	6|2	2	Buff_2	
20201020	3	0	12|-10	0	0	1002	0	0	0	2		
20201021	3	0	22|20	0	0	1001	0	0	1|1	2	Buff_12	
20201030	3	0	22|-10	0	0	1002	0	0	1|2	2	Buff_4	
20201031	3	0	32|-10	0	0	1002	0	0	2|2	2	Buff_11	
20201032	3	0	61|30	0	0	1001	0	0	2|3	2	Buff_6	
20201040	3	0	32|-25	0	0	1002	0	0	2|2	2	Buff_11	
20201041	3	0	22|35	0	0	1001	0	0	1|1	2	Buff_12	
20201050	9	0	20201050	0	0	1002	0	0	1|2	2	Buff_4	
20201051	3	0	22|-20	0	0	0	0	0	6|1	2	Buff_1	
20201060	3	0	32|-15	0	0	1002	0	0	2|2	2	Buff_11	
20201061	2	0	0|50|3	0	0	1001	0	0	5|1	2	Buff_10	
