sn	decType	decValue	actionType	valueList
100011000			1	120|0|0
100011100	5	100	4	1000111
100012000	1	100	1	100|0|0
100012100	6	20	6	3
100013000	1	100	1	60|0|0
100013100	7	30	4	1000130
100014000			4	1000140
100021000			2	75|0|0
100021100			4	1000210
100021200			4	1000211
100022000	1	100	1	100|0|0
100023000	1	100	1	60|0|0
100023100	4	20	4	1000230
100024000			4	1000240
100031000	1	100	1	200|0|0
100032000	1	100	1	60|0|0
100032100	5	100	7	1000320
100033000	1	100	1	100|0|0
100033100	5	30	4	1000330
100034000			4	1000340
100041000			1	150|0|0
100041100	7	100	4	1000410
100042000	1	100	1	40|0|0
100043000	1	100	1	40|0|0
100044000			4	1000440
100051000			1	120|0|0
100051100	6	25	6	-3|3
100051200	4	20	4	1000510
100051300	5	25	4	1000511
100052000	1	100	1	60|0|0
100052100	7	30	4	1000520
100053000	1	100	1	60|0|0
100053100	4	20	4	1000530
100054000			3	5|10
100061000	8|3	10|100	5	
100061100			1	180|0|0
100062000	1	100	1	100|0|0
100063000	1	100	1	100|0|0
100064000			3	-3|-6
100071000	1	100	1	180|0|0
100071100	2	100	11	
100072000	1	100	1	80|0|0
100072100			6	1
100072200			4	1000720
100072300			4	1000721
100073000	1	100	1	100|0|0
100073100			6	-3
100081000	1	100	1	100|0|0
100081100	4	100	4	1000810
100081200	7	100	4	1000811
100081300	2	100	11	
100082000	1	100	1	100|0|0
100083000	1	100	1	100|0|0
100083100	1	100	1	100|0|0
100083200	1	100	1	100|0|0
100083800	2	100	10	1000831
100083900	2	100	10	1000832
100091000	1	100	1	100|0|0
100091100	5	100	4	1000911
100091200	7	100	4	1000912
100091300	2	100	11	
100092000	1	100	1	100|0|0
100092100	5	100	4	1000921
100093000	1	100	1	100|0|0
100093100	7	100	4	1000931
100094000	2	100	4	1000940
100111000			12	1|3
100112000	1	100	1	100|0|0
100112100	5	30	4	1001120
100112200			6	1
100112300	5	100	4	1001121
100113000	11	4	3	5|10
100113100	10|4	4|100	4	1001130
100114000			3	5|10
200011000	1	100	1	60|0|0
200012000			4	2000120
200013000			7	4|11|1
200013100	10	11	4	2000130
200021000	1	100	1	50|0|0
200021100			3	5|10
200031000	1	100	1	100|0|0
200041000	1	100	1	30|0|0
200041100	4	30	4	2000410
200051000	1	100	1	80|0|0
200051100	5	30	4	2000510
200061000	1	100	1	100|0|0
200071000	1	100	1	100|0|0
200071100	6	30	6	3
200081000	1	100	1	55|0|0
200082000	1	100	1	250|0|0
200082100			5	
200082200			3	15|25
200091000	1	100	1	100|0|0
200092000	1	100	1	40|0|0
200092100	4	20	4	2000920
200121000	1	100	1	80|0|0
200121100			3	5|10
200131000	1	100	1	100|0|0
200141000	1	100	1	100|0|0
200141100	6	30	6	1
200141200			3	5|10
200191000	1	100	1	100|0|0
300031000	1	100	1	55|0|0
300032000			5	
300032100			2	0|0|15
300032200			4	3000320|100
300033000			8	20008
300034000			0	0
300035000			0	0
300036000	1	100	1	500|0|0
300036100			3	20|30
300041000	1	100	1	100|0|0
300042000			3	5|20
300042100			10	3000430
300043000	1	100	1	100|0|0
300051000	1	100	1	100|0|0
300051100	7	100	4	3000510
300051200	7	100	4	3000511
300052000	1	100	1	100|0|0
300053000			8	20012
300061000			2	75|0|0
300061100			4	3000610
300061200			4	3000611
300062000			4	3000620
300063000			0	0
300064000	1	100	1	230|0|0
300065000			6	-1
300065100			3	10|15
400011000			4	4000110
400011100	1	100	1	30|0|0
400012000			4	4000120
400013000	1	100	1	100|0|0
400014000			2	100|0|0
400019000			4	4000190
2020003000			6	-3|3
1000000200			1	100|0|0
2010001000			3	-5|-10
2020001000			3	10|20
2010101000			4	20101011
2010102000			4	20101021
2010104000			2	40|0|0
2010106000			4	20101061
2020101000			0	0
2020105000			2	20|0|0
